0,2.941378
1,2.427418
2,2.097833
3,1.772009
4,1.532092
5,1.408199
6,1.352519
7,1.338965
8,1.342591
9,1.357237
10,1.376461
11,1.402262
12,1.459748
13,1.485766
14,1.562651
15,1.639598
16,1.661430
17,1.736615
18,1.826352
19,1.893633
20,1.948296
21,2.057273
22,2.231473
23,2.250223
24,2.300755
25,2.355513
26,2.360399
27,2.422416
28,2.480728
29,2.447023
30,2.476634
31,2.436088
32,2.451537
33,2.509099
34,2.548198
35,2.514168
36,2.496989
37,2.549182
38,2.589338
39,2.568294
40,2.548258
41,2.561930
42,2.554322
43,2.520333
44,2.484124
45,2.497458
46,2.525820
47,2.561826
48,2.556582
49,2.551871
